method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,pool,code_seed
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,37,600,0.6,True,True,False,0.4,0.00425076600004104,7,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,37,500,0.5,True,True,False,0.5,0.003849430999252945,7,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,38,500,0.5,True,True,False,0.5,0.004192262000287883,8,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,38,500,0.5,True,True,False,0.5,0.0035113480007566977,6,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,38,600,0.6,True,True,False,0.4,0.003945090000343043,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,38,500,0.5,True,True,False,0.5,0.003688508999402984,6,aware-pipeline,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,39,500,0.5,True,True,False,0.5,0.00569625400021323,13,uniform,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,39,500,0.5,True,True,False,0.5,0.004774958999405499,10,aware-pipeline,0,0
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,39,600,0.6,True,True,False,0.4,0.00392387499960023,6,uniform,0,1
LDPC,1000,6%,0.06520430107526881,0.06451612903225806,39,500,0.5,True,True,False,0.5,0.004436859999259468,9,aware-pipeline,0,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,0,600,0.6,True,True,False,0.4,0.004193000999293872,5,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,0,500,0.5,True,True,False,0.5,0.004953802999807522,10,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,0,600,0.6,True,True,False,0.4,0.003958280000006198,6,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,0,500,0.5,True,True,False,0.5,0.004496931000176119,9,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,1,600,0.6,True,True,False,0.4,0.0036940209993190365,5,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,1,500,0.5,True,True,False,0.5,0.003855574999761302,7,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,1,600,0.6,True,True,False,0.4,0.003943854999306495,6,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,1,500,0.5,True,True,False,0.5,0.0038523390012414893,7,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,2,600,0.6,True,True,False,0.4,0.003949489000660833,6,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,2,500,0.5,True,True,False,0.5,0.003572308000002522,6,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,2,600,0.6,True,True,False,0.4,0.003962713999499101,6,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,2,500,0.5,True,True,False,0.5,0.003233059000194771,5,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,3,600,0.6,True,True,False,0.4,0.003950469999836059,6,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,3,500,0.5,True,True,False,0.5,0.0038720560005458537,7,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,3,600,0.6,True,True,False,0.4,0.0033021800009009894,4,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,3,500,0.5,True,True,False,0.5,0.004472171000088565,9,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,4,600,0.6,True,True,False,0.4,0.0036146829988865647,5,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,4,500,0.5,True,True,False,0.5,0.0035685220009327168,6,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,4,600,0.6,True,True,False,0.4,0.0036074270010431064,5,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,4,500,0.5,True,True,False,0.5,0.003531395999743836,6,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,5,600,0.6,True,True,False,0.4,0.004149451000557747,6,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,5,500,0.5,True,True,False,0.5,0.0035812719997920794,6,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,5,600,0.6,True,True,False,0.4,0.003617809999923338,5,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,5,500,0.5,True,True,False,0.5,0.004160638000030303,8,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,6,600,0.6,True,True,False,0.4,0.003279305999967619,4,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,6,500,0.5,True,True,False,0.5,0.0032315989992639516,5,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,6,600,0.6,True,True,False,0.4,0.0033190800004376797,4,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,6,500,0.5,True,True,False,0.5,0.0032399060000898317,5,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,7,600,0.6,True,True,False,0.4,0.004270298999472288,7,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,7,500,0.5,True,True,False,0.5,0.004155860000537359,8,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,7,600,0.6,True,True,False,0.4,0.00362060199950065,5,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,7,500,0.5,True,True,False,0.5,0.004182147000392433,8,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,8,600,0.6,True,True,False,0.4,0.0036083479990338674,5,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,8,500,0.5,True,True,False,0.5,0.0042956300003424985,8,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,8,600,0.6,True,True,False,0.4,0.0033032829996955115,4,uniform,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,8,500,0.5,True,True,False,0.5,0.0037558020012511406,6,aware-pipeline,1,1
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,9,600,0.6,True,True,False,0.4,0.003960096000810154,6,uniform,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,9,500,0.5,True,True,False,0.5,0.004341462001320906,8,aware-pipeline,1,0
LDPC,1000,6%,0.06535483870967741,0.07075268817204301,9,600,0.6,True,True,False,0.4,0.004114563000257476,6,uniform,1,1
