method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
GRAND,16,1%,0.009229349330872173,0.009615384615384616,49,16,1.0,True,True,False,0.0,1.2198999684187584e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,50,3,0.1875,True,True,False,0.8125,5.607999992207624e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,50,16,1.0,True,True,False,0.0,1.1977999747614376e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,51,3,0.1875,False,False,False,0.0,0.0036239999999452266,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,51,16,1.0,True,True,False,0.0,2.1863999791094102e-05,15
LDPC,16,1%,0.009229349330872173,0.009615384615384616,52,3,0.1875,True,True,False,0.8125,5.9130000408913475e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,52,16,1.0,True,True,False,0.0,1.2149999747634865e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,53,3,0.1875,True,True,False,0.8125,5.580399920290802e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,53,16,1.0,True,True,False,0.0,1.2018000234093051e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,54,3,0.1875,False,False,False,0.0,0.003627070000220556,120
GRAND,16,1%,0.009229349330872173,0.009615384615384616,54,16,1.0,True,True,False,0.0,2.2267000531428494e-05,14
LDPC,16,1%,0.009229349330872173,0.009615384615384616,55,3,0.1875,True,True,False,0.8125,5.755200072599109e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,55,16,1.0,True,True,False,0.0,1.2100999811082147e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,56,3,0.1875,True,True,False,0.8125,5.55990000066231e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,56,16,1.0,True,True,False,0.0,1.1070000255131163e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,57,3,0.1875,True,True,False,0.8125,5.397099994297605e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,57,16,1.0,True,True,False,0.0,1.1138999980175868e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,58,3,0.1875,True,True,False,0.8125,5.662500007019844e-05,1
GRAND,16,1%,0.009229349330872173,0.009615384615384616,58,16,1.0,True,True,False,0.0,1.102599981095409e-05,1
LDPC,16,1%,0.009229349330872173,0.009615384615384616,59,3,0.1875,True,True,False,0.8125,5.367999983718619e-05,1
