method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
LDPC,64,6%,0.06486860304287691,0.061625941293991085,13,32,0.5,True,True,False,0.5,0.00015201400037767598,1
GRAND,64,6%,0.06486860304287691,0.061625941293991085,13,38,0.59375,True,True,False,0.40625,7.774099958623992e-05,228
LDPC,64,6%,0.06486860304287691,0.061625941293991085,14,32,0.5,True,True,False,0.5,0.00010989200018229894,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,14,38,0.59375,True,True,False,0.40625,0.0002198269994551083,1023
LDPC,64,6%,0.06486860304287691,0.061625941293991085,15,32,0.5,True,True,False,0.5,0.00011998500031040749,3
GRAND,64,6%,0.06486860304287691,0.061625941293991085,15,38,0.59375,True,True,False,0.40625,8.093199994618772e-05,340
LDPC,64,6%,0.06486860304287691,0.061625941293991085,16,32,0.5,True,True,False,0.5,5.9298999985912815e-05,1
GRAND,64,6%,0.06486860304287691,0.061625941293991085,16,38,0.59375,True,True,False,0.40625,6.751499950041762e-05,270
LDPC,64,6%,0.06486860304287691,0.061625941293991085,17,32,0.5,True,True,False,0.5,9.341600070911227e-05,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,17,38,0.59375,True,True,False,0.40625,0.0014505300005112076,7319
LDPC,64,6%,0.06486860304287691,0.061625941293991085,18,32,0.5,True,True,False,0.5,0.0001494880007157917,4
GRAND,64,6%,0.06486860304287691,0.061625941293991085,18,38,0.59375,True,True,False,0.40625,0.007595695999953023,38072
LDPC,64,6%,0.06486860304287691,0.061625941293991085,19,32,0.5,True,True,False,0.5,0.0005708349999622442,15
GRAND,64,6%,0.06486860304287691,0.061625941293991085,19,38,0.59375,False,False,False,0.0,0.39273167099963757,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,20,32,0.5,False,False,False,0.0,0.0033966609998969943,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,20,38,0.59375,False,False,False,0.0,0.39044316400031676,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,21,32,0.5,True,True,False,0.5,0.00021161000040592626,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,21,38,0.59375,True,True,False,0.40625,0.00039085099979274673,1797
LDPC,64,6%,0.06486860304287691,0.061625941293991085,22,32,0.5,False,False,False,0.0,0.0036316880004960694,120
GRAND,64,6%,0.06486860304287691,0.061625941293991085,22,38,0.59375,False,False,False,0.0,0.4770032809992699,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,23,32,0.5,True,True,False,0.5,0.00024596699950052425,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,23,38,0.59375,True,True,False,0.40625,0.07060590400033107,286489
LDPC,64,6%,0.06486860304287691,0.061625941293991085,24,32,0.5,True,True,False,0.5,0.0007012690002738964,14
GRAND,64,6%,0.06486860304287691,0.061625941293991085,24,38,0.59375,False,False,False,0.0,0.5080321969999204,2000000
LDPC,64,6%,0.06486860304287691,0.061625941293991085,25,32,0.5,True,True,False,0.5,0.00022162099958222825,2
GRAND,64,6%,0.06486860304287691,0.061625941293991085,25,38,0.59375,True,True,False,0.40625,0.00021898499926464865,752
LDPC,64,6%,0.06486860304287691,0.061625941293991085,26,32,0.5,True,True,False,0.5,0.00019453999993856996,4
