method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,41,16,1.0,True,True,False,0.0,1.4264000128605403e-05,10,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,42,16,1.0,True,True,False,0.0,1.0818000191648025e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,42,16,1.0,True,True,False,0.0,1.0374000339652412e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,42,16,1.0,True,True,False,0.0,9.647999831940979e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,43,16,1.0,True,True,False,0.0,1.0159999874304049e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,43,16,1.0,True,True,False,0.0,9.921999662765302e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,43,16,1.0,True,True,False,0.0,9.678999958850909e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,44,16,1.0,True,True,False,0.0,1.014400004351046e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,44,16,1.0,True,True,False,0.0,9.551999937684741e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,44,16,1.0,True,True,False,0.0,9.792999662749935e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,45,16,1.0,True,True,False,0.0,1.068800065695541e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,45,16,1.0,True,True,False,0.0,9.882999620458577e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,45,16,1.0,True,True,False,0.0,1.0015999578172341e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,46,16,1.0,True,True,False,0.0,1.0063000445370562e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,46,16,1.0,True,True,False,0.0,9.754999155120458e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,46,16,1.0,True,True,False,0.0,9.4600000011269e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,47,16,1.0,True,True,False,0.0,1.0302000191586558e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,47,16,1.0,True,True,False,0.0,9.921000128088053e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,47,16,1.0,True,True,False,0.0,9.499000043433625e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,48,16,1.0,True,True,False,0.0,1.0363999535911717e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,48,16,1.0,True,True,False,0.0,1.042199983203318e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,48,16,1.0,True,True,False,0.0,1.0650999684003182e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,49,16,1.0,True,True,False,0.0,1.1377000191714615e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,49,16,1.0,True,True,False,0.0,1.0650999684003182e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,49,16,1.0,True,True,False,0.0,1.0267999641655479e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,50,16,1.0,True,True,False,0.0,1.0343000212742481e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,50,16,1.0,True,True,False,0.0,9.903999853122514e-06,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,50,16,1.0,True,True,False,0.0,1.0077999831992202e-05,1,1000000
