method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,scheme
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,1,500,0.5,True,True,False,0.5,0.021240099998976802,9,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,1,500,0.5,True,True,False,0.5,0.02248400000098627,9,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,2,500,0.5,True,True,False,0.5,0.01691700000083074,7,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,2,500,0.5,True,True,False,0.5,0.01608699999997043,6,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,2,500,0.5,True,True,False,0.5,0.01892280000174651,6,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,3,500,0.5,True,True,False,0.5,0.018117900002835086,8,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,3,500,0.5,True,True,False,0.5,0.02036470000166446,8,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,3,500,0.5,True,True,False,0.5,0.018447600003128173,8,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,4,500,0.5,True,True,False,0.5,0.032656999999744585,14,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,4,500,0.5,True,True,False,0.5,0.022440000000642613,8,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,4,500,0.5,True,True,False,0.5,0.019877700000506593,8,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,5,500,0.5,True,True,False,0.5,0.035853499997756444,17,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,5,500,0.5,True,True,False,0.5,0.02703750000000582,13,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,5,500,0.5,True,True,False,0.5,0.027965400000539375,13,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,6,500,0.5,False,False,False,0.0,0.2321315000008326,120,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,6,500,0.5,False,False,False,0.0,0.22286719999829074,120,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,6,500,0.5,False,False,False,0.0,0.22449759999653907,120,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,7,500,0.5,True,True,False,0.5,0.01820370000132243,8,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,7,500,0.5,True,True,False,0.5,0.01567079999949783,6,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,7,500,0.5,True,True,False,0.5,0.015585699999064673,6,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,8,500,0.5,True,True,False,0.5,0.01685419999921578,7,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,8,500,0.5,True,True,False,0.5,0.0227216999992379,7,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,8,500,0.5,True,True,False,0.5,0.01829340000040247,7,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,9,500,0.5,True,True,False,0.5,0.021090000002004672,8,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,9,500,0.5,True,True,False,0.5,0.01743279999936931,7,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,9,500,0.5,True,True,False,0.5,0.019400799999857554,7,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,10,500,0.5,False,False,False,0.0,0.2461421000007249,120,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,10,500,0.5,False,False,False,0.0,0.29842160000043805,120,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,10,500,0.5,False,False,False,0.0,0.2951355000004696,120,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,11,500,0.5,True,True,False,0.5,0.029599400000734022,10,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,11,500,0.5,True,True,False,0.5,0.03170519999912358,9,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,11,500,0.5,True,True,False,0.5,0.04123000000254251,9,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,12,500,0.5,True,True,False,0.5,0.031512200002907775,10,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,12,500,0.5,True,True,False,0.5,0.030086999999184627,10,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,12,500,0.5,True,True,False,0.5,0.03945029999886174,10,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,13,500,0.5,True,True,False,0.5,0.041261400001531,10,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,13,500,0.5,True,True,False,0.5,0.036337099998490885,9,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,13,500,0.5,True,True,False,0.5,0.042122099999687634,9,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,14,500,0.5,True,True,False,0.5,0.04473199999847566,10,uniform,A
